Vertex,SAT time,VC1 time,VC2 time,SAT size,VC1 size,VC2 size
20,4943832,158,36,0,10,14
20,4955820,165,57,0,10,14
20,4869026,227,36,0,10,14
20,4876431,154,53,0,10,14
20,4922142,228,35,0,10,14
20,4960786,151,57,0,10,14
20,4945302,161,35,0,10,14
20,4949478,209,56,0,10,14
20,4961868,158,47,0,10,14
20,4660661,170,34,0,10,14
20,4883238,167,34,0,10,14
20,4931271,168,99,0,10,14
20,4890954,149,60,0,10,14
20,4932194,150,87,0,10,14
20,4882593,166,34,0,10,14
20,4926703,164,47,0,10,14
20,4952921,225,34,0,10,14
20,4944484,163,53,0,10,16
20,4936373,214,69,0,10,16
20,4947013,165,54,0,10,16
20,4945222,158,61,0,10,16
20,4925822,164,53,0,10,16
20,4949272,163,65,0,10,16
20,4946777,150,65,0,10,16
20,4932266,235,39,0,10,16
20,4895167,158,38,0,10,16
20,4902549,171,53,0,10,16
20,4965493,151,53,0,10,14
20,4954409,246,34,0,10,14
20,4901761,218,34,0,10,14
20,4944891,149,63,0,10,14
20,4952923,165,34,0,10,14
20,4953101,160,34,0,10,14
20,4996090,150,61,0,10,14
20,4905969,167,46,0,10,14
20,4939429,151,47,0,10,14
20,4929598,211,61,0,10,14
20,4929333,226,38,0,10,16
20,4960881,154,53,0,10,16
20,4956483,155,53,0,10,16
20,4914846,158,95,0,10,16
20,4961220,144,87,0,10,16
20,4890695,206,65,0,10,16
20,4943757,149,62,0,10,16
20,4910311,159,67,0,10,16
20,4957734,167,53,0,10,16
20,4942163,189,65,0,10,16
20,4941174,151,72,0,8,14
20,4901083,144,39,0,8,14
20,4848309,143,39,0,8,14
20,4927423,135,64,0,8,14
20,4953224,206,40,0,8,14
20,4942377,135,58,0,8,14
20,4942974,142,42,0,8,14
20,4910078,191,58,0,8,14
20,4914462,149,55,0,8,14
20,4949794,140,68,0,8,14
